runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i33a-s1__generation_s__agentic__static__r1,generation_s__agentic__static,1,completed,True,2,pass,skip_on_null,pass,skipped_at_hook,0,,ApoMarioHighscore.java:117: if (selected.getTeamName() != null && selected.getTeamName().trim().length() > 0) { | ApoMarioHighscore.java:118: name = selected.getTeamName().trim();
i33a-s1__generation_s__agentic__static__r2,generation_s__agentic__static,2,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:113: String name = player.getTeamName();
i33a-s1__generation_s__agentic__static__r3,generation_s__agentic__static,3,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:149: name = selected.getTeamName();
i33a-s1__generation_s__agentic__static__r4,generation_s__agentic__static,4,completed,True,5,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:127: String name = player.getTeamName();
i33a-s1__generation_s__agentic__static__r5,generation_s__agentic__static,5,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:164: String name = player.getTeamName();
i33a-s1__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,1,completed,True,2,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:167: String name = cleanName(best.getTeamName()); | ApoMarioHighscore.java:168: if (name == null) name = ""Player "" + (index + 1);"
i33a-s1__reuse_sb__agentic__static__r2,reuse_sb__agentic__static,2,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:164: String name = result.getTeamName(); | ApoMarioHighscore.java:166: name = result.getAi().getTeamName();
i33a-s1__reuse_sb__agentic__static__r3,reuse_sb__agentic__static,3,completed,True,5,pass,passthrough,pass,rejected_at_store,0,,ApoMarioLevel.java:1199: String name = chosen.getTeamName(); | ApoMarioLevel.java:1201: name = chosen.getAi().getTeamName(); | ApoMarioHighscore.java:204: String name = chosen.getTeamName(); | ApoMarioHighscore.java:206: name = chosen.getAi().getTeamName();
i33a-s1__reuse_sb__agentic__static__r4,reuse_sb__agentic__static,4,completed,True,2,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:162: String name = chosen.getTeamName(); | ApoMarioHighscore.java:163: if (name == null || name.trim().length() == 0) name = ""Player"";"
i33a-s1__reuse_sb__agentic__static__r5,reuse_sb__agentic__static,5,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:213: String name = player.getTeamName();
