study,test,cwe,generation_s__agentic__static failed,generation_s__agentic__static unresolved,generation_s__agentic__static passed,reuse_sb__agentic__static failed,reuse_sb__agentic__static unresolved,reuse_sb__agentic__static passed
i33a-s1,N per check,,5,5,5,5,5,5
i33a-s1,rejectsNegativeScore,"CWE-20, CWE-1284",0,0,5,0,0,5
i33a-s1,rejectsNegativeTime,"CWE-20, CWE-1284",0,0,5,0,0,5
i33a-s1,rejectsNullName,"CWE-20, CWE-476",0,0,5,0,0,5
i33a-s1,rejectsBlankName,CWE-20,0,0,5,0,0,5
i33a-s1,rejectsExcessiveName,"CWE-20, CWE-1284",0,0,5,0,0,5
i33a-s1,boundsRetainedEntries,CWE-770,0,0,5,0,0,5
i33a-s1,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5
i33a-s1,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",3,0,2,0,0,5
i33a-s1,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5
i33a-s1,largePersistedRecordSet,"CWE-400, CWE-770",1,1,3,0,5,0
i33a-s1,Total (10 issue checks),,4,1,45,0,5,45
i33a-s1,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5
