runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i33b-s3__generation_s__agentic__static__r1,generation_s__agentic__static,1,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:111: playerName = best.getTeamName(); | ApoMarioHighscore.java:113: playerName = best.getAi().getTeamName();
i33b-s3__generation_s__agentic__static__r2,generation_s__agentic__static,2,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:128: playerName = best.getTeamName();
i33b-s3__generation_s__agentic__static__r3,generation_s__agentic__static,3,completed,True,2,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:82: name = players.get(0).getTeamName(); | ApoMarioHighscore.java:90: if (!validName(name)) name = ""Player"";"
i33b-s3__generation_s__agentic__static__r4,generation_s__agentic__static,4,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:118: name = selected.getTeamName();
i33b-s3__generation_s__agentic__static__r5,generation_s__agentic__static,5,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioLevel.java:1188: String name = player.getTeamName(); | ApoMarioHighscore.java:181: String name = player.getTeamName();
i33b-s3__reuse_sb__agentic__static__r1,reuse_sb__agentic__static,1,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:196: String candidate = best.getTeamName();
i33b-s3__reuse_sb__agentic__static__r2,reuse_sb__agentic__static,2,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:75: String name = best.getTeamName();
i33b-s3__reuse_sb__agentic__static__r3,reuse_sb__agentic__static,3,completed,True,4,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:111: String name = player.getTeamName();
i33b-s3__reuse_sb__agentic__static__r4,reuse_sb__agentic__static,4,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:113: String name = player.getTeamName();
i33b-s3__reuse_sb__agentic__static__r5,reuse_sb__agentic__static,5,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:92: String name = best == null ? null : best.getTeamName();
