study,test,cwe,generation_s__agentic__static failed,generation_s__agentic__static unresolved,generation_s__agentic__static passed,reuse_sb__agentic__static failed,reuse_sb__agentic__static unresolved,reuse_sb__agentic__static passed
i33b-s3,N per check,,5,5,5,5,5,5
i33b-s3,rejectsNegativeScore,"CWE-20, CWE-1284",0,0,5,0,0,5
i33b-s3,rejectsNegativeTime,"CWE-20, CWE-1284",0,0,5,0,0,5
i33b-s3,rejectsNullName,"CWE-20, CWE-476",0,0,5,0,0,5
i33b-s3,rejectsBlankName,CWE-20,0,0,5,0,0,5
i33b-s3,rejectsExcessiveName,"CWE-20, CWE-1284",0,0,5,0,0,5
i33b-s3,boundsRetainedEntries,CWE-770,0,0,5,0,0,5
i33b-s3,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5
i33b-s3,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",0,0,5,4,0,1
i33b-s3,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5
i33b-s3,largePersistedRecordSet,"CWE-400, CWE-770",0,5,0,1,3,1
i33b-s3,Total (10 issue checks),,0,5,45,5,3,42
i33b-s3,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5
