condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete
generation_s__agentic__static,generation_s,agentic+static,Input policy,5,5,0,5,0,0.0,0.0,0.0,0.43448246478317476
generation_s__agentic__static,generation_s,agentic+static,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476
generation_s__agentic__static,generation_s,agentic+static,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476
generation_s__agentic__static,generation_s,agentic+static,Resource stress,2,5,0,0,5,0.0,1.0,,
generation_s__agentic__static,generation_s,agentic+static,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476
reuse_sb__agentic__static,reuse_sb,agentic+static,Input policy,5,5,0,5,0,0.0,0.0,0.0,0.43448246478317476
reuse_sb__agentic__static,reuse_sb,agentic+static,Retention policy,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476
reuse_sb__agentic__static,reuse_sb,agentic+static,Parser robustness,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476
reuse_sb__agentic__static,reuse_sb,agentic+static,Resource stress,2,5,4,1,0,0.8,0.8,0.37553462976252533,0.9637758913675698
reuse_sb__agentic__static,reuse_sb,agentic+static,Deserialization dispatch,1,5,0,5,0,0.0,0.0,0.0,0.43448246478317476
