runId,condition,test,category,detail,report,reportSha256,responseSha256
i34-notes__reuse_sb__agentic__notes__r1,reuse_sb__agentic__notes,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__notes__r1/submission-4/evaluation/report.json,a1adefa0f57ec39ea6aa7a9ffb851f5ef85ea726fd2ccb72903eadda2e07baf0,2445ee02b373ad8c1b8d4f1e12f1b9512b9735b251a53acf13dfc4dfef097297
i34-notes__reuse_sb__agentic__notes__r1,reuse_sb__agentic__notes,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__notes__r1/submission-4/evaluation/report.json,a1adefa0f57ec39ea6aa7a9ffb851f5ef85ea726fd2ccb72903eadda2e07baf0,2445ee02b373ad8c1b8d4f1e12f1b9512b9735b251a53acf13dfc4dfef097297
i34-notes__reuse_sb__agentic__notes__r1,reuse_sb__agentic__notes,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__notes__r1/submission-4/evaluation/report.json,a1adefa0f57ec39ea6aa7a9ffb851f5ef85ea726fd2ccb72903eadda2e07baf0,2445ee02b373ad8c1b8d4f1e12f1b9512b9735b251a53acf13dfc4dfef097297
i34-notes__reuse_sb__agentic__notes__r1,reuse_sb__agentic__notes,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__notes__r1/submission-4/evaluation/report.json,a1adefa0f57ec39ea6aa7a9ffb851f5ef85ea726fd2ccb72903eadda2e07baf0,2445ee02b373ad8c1b8d4f1e12f1b9512b9735b251a53acf13dfc4dfef097297
i34-notes__reuse_sb__agentic__notes__r1,reuse_sb__agentic__notes,rejectsExcessiveName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__notes__r1/submission-4/evaluation/report.json,a1adefa0f57ec39ea6aa7a9ffb851f5ef85ea726fd2ccb72903eadda2e07baf0,2445ee02b373ad8c1b8d4f1e12f1b9512b9735b251a53acf13dfc4dfef097297
i34-notes__reuse_sb__agentic__notes__r1,reuse_sb__agentic__notes,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__notes__r1/submission-4/evaluation/report.json,a1adefa0f57ec39ea6aa7a9ffb851f5ef85ea726fd2ccb72903eadda2e07baf0,2445ee02b373ad8c1b8d4f1e12f1b9512b9735b251a53acf13dfc4dfef097297
i34-notes__reuse_sb__agentic__notes__r1,reuse_sb__agentic__notes,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__notes__r1/submission-4/evaluation/report.json,a1adefa0f57ec39ea6aa7a9ffb851f5ef85ea726fd2ccb72903eadda2e07baf0,2445ee02b373ad8c1b8d4f1e12f1b9512b9735b251a53acf13dfc4dfef097297
i34-notes__generation_s__agentic__static-notes__r1,generation_s__agentic__static-notes,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i34-notes/runs/i34-notes__generation_s__agentic__static-notes__r1/submission-4/evaluation/report.json,add78df59c5418781afd46e657cc3c7bd1d88ecb25db801edbc1607c96125ca5,066ad3590373a8aeffed12465758647ab7e773ab29798f686fb5930700cebcae
i34-notes__generation_s__agentic__notes__r1,generation_s__agentic__notes,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i34-notes/runs/i34-notes__generation_s__agentic__notes__r1/submission-4/evaluation/report.json,6a7410609a3145a701745f73b6939fd4c14010b850b7e0f0b9605d154647416b,e8f2468ff44bb26f050b417abba2b5dee6ababf563de7036cf87ed384b1beda6
i34-notes__generation_s__agentic__static-notes__r2,generation_s__agentic__static-notes,oversizedPhysicalLine,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i34-notes/runs/i34-notes__generation_s__agentic__static-notes__r2/submission-5/evaluation/report.json,1bd02098b6c90f6ba49a720ceb6af620cc61e105a02abb6a5a8ed187279e697b,282118536e246109caeae69d76d311cfb17b551bad08ba07be4f4ea50e012dfb
i34-notes__reuse_sb__agentic__static-notes__r2,reuse_sb__agentic__static-notes,oversizedPhysicalLine,process_time_budget,"Exceeded the protocol's 15s process budget; bounded-time property failed, not a universal DoS proof.",.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__static-notes__r2/submission-1/evaluation/report.json,369befff3cdc5f7856c1b45d487e2c5c52da69fb4c91ba8250fbdb4c6241f1db,abec17f14b32e890a7a0a9c357ddf086bf3ba9b1230fc5126d52a42867a0a5ab
i34-notes__reuse_sb__agentic__static-notes__r2,reuse_sb__agentic__static-notes,largePersistedRecordSet,observed_heap_exhaustion,OutOfMemoryError: Java heap space,.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__static-notes__r2/submission-1/evaluation/report.json,369befff3cdc5f7856c1b45d487e2c5c52da69fb4c91ba8250fbdb4c6241f1db,abec17f14b32e890a7a0a9c357ddf086bf3ba9b1230fc5126d52a42867a0a5ab
i34-notes__reuse_sb__agentic__notes__r2,reuse_sb__agentic__notes,rejectsNegativeScore,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__notes__r2/submission-1/evaluation/report.json,97d503f50e10b152daf4b10ada820390425bb20a36396a79dcaf37853dbc071c,a966ca9868981aeb4eb1430d49550e712ce5459520616784eb15e03e889c7dbd
i34-notes__reuse_sb__agentic__notes__r2,reuse_sb__agentic__notes,rejectsNegativeTime,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__notes__r2/submission-1/evaluation/report.json,97d503f50e10b152daf4b10ada820390425bb20a36396a79dcaf37853dbc071c,a966ca9868981aeb4eb1430d49550e712ce5459520616784eb15e03e889c7dbd
i34-notes__reuse_sb__agentic__notes__r2,reuse_sb__agentic__notes,rejectsNullName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__notes__r2/submission-1/evaluation/report.json,97d503f50e10b152daf4b10ada820390425bb20a36396a79dcaf37853dbc071c,a966ca9868981aeb4eb1430d49550e712ce5459520616784eb15e03e889c7dbd
i34-notes__reuse_sb__agentic__notes__r2,reuse_sb__agentic__notes,rejectsBlankName,input_rejection_policy,AssertionError: Invalid record was accepted by storeRun.,.local/iterations/i34-notes/runs/i34-notes__reuse_sb__agentic__notes__r2/submission-1/evaluation/report.json,97d503f50e10b152daf4b10ada820390425bb20a36396a79dcaf37853dbc071c,a966ca9868981aeb4eb1430d49550e712ce5459520616784eb15e03e889c7dbd
