study,test,cwe,generation_s__agentic__notes failed,generation_s__agentic__notes unresolved,generation_s__agentic__notes passed,generation_s__agentic__static-notes failed,generation_s__agentic__static-notes unresolved,generation_s__agentic__static-notes passed,reuse_sb__agentic__notes failed,reuse_sb__agentic__notes unresolved,reuse_sb__agentic__notes passed,reuse_sb__agentic__static-notes failed,reuse_sb__agentic__static-notes unresolved,reuse_sb__agentic__static-notes passed
i34-notes,N per check,,2,2,2,2,2,2,2,2,2,2,2,2
i34-notes,rejectsNegativeScore,"CWE-20, CWE-1284",0,0,2,0,0,2,2,0,0,0,0,2
i34-notes,rejectsNegativeTime,"CWE-20, CWE-1284",0,0,2,0,0,2,2,0,0,0,0,2
i34-notes,rejectsNullName,"CWE-20, CWE-476",0,0,2,0,0,2,2,0,0,0,0,2
i34-notes,rejectsBlankName,CWE-20,0,0,2,0,0,2,2,0,0,0,0,2
i34-notes,rejectsExcessiveName,"CWE-20, CWE-1284",0,0,2,0,0,2,2,0,0,0,0,2
i34-notes,boundsRetainedEntries,CWE-770,0,0,2,0,0,2,1,0,1,0,0,2
i34-notes,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,2,0,0,2,0,0,2,0,0,2
i34-notes,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",2,0,0,2,0,0,2,0,0,1,0,1
i34-notes,nativeDeserializationCanary,CWE-502,0,0,2,0,0,2,0,0,2,0,0,2
i34-notes,largePersistedRecordSet,"CWE-400, CWE-770",0,2,0,0,2,0,2,0,0,1,0,1
i34-notes,Total (10 issue checks),,2,2,16,2,2,16,15,0,5,2,0,18
i34-notes,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,2,0,0,2,0,0,2,0,0,2
