condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete
generation_s__agentic__notes,generation_s,agentic+notes,Input policy,5,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
generation_s__agentic__notes,generation_s,agentic+notes,Retention policy,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
generation_s__agentic__notes,generation_s,agentic+notes,Parser robustness,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
generation_s__agentic__notes,generation_s,agentic+notes,Resource stress,2,2,2,0,0,1.0,1.0,0.34238022750665303,1.0
generation_s__agentic__notes,generation_s,agentic+notes,Deserialization dispatch,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
generation_s__agentic__static-notes,generation_s,agentic+static-notes,Input policy,5,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
generation_s__agentic__static-notes,generation_s,agentic+static-notes,Retention policy,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
generation_s__agentic__static-notes,generation_s,agentic+static-notes,Parser robustness,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
generation_s__agentic__static-notes,generation_s,agentic+static-notes,Resource stress,2,2,2,0,0,1.0,1.0,0.34238022750665303,1.0
generation_s__agentic__static-notes,generation_s,agentic+static-notes,Deserialization dispatch,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
reuse_sb__agentic__notes,reuse_sb,agentic+notes,Input policy,5,2,2,0,0,1.0,1.0,0.34238022750665303,1.0
reuse_sb__agentic__notes,reuse_sb,agentic+notes,Retention policy,1,2,1,1,0,0.5,0.5,0.09453120573423074,0.9054687942657693
reuse_sb__agentic__notes,reuse_sb,agentic+notes,Parser robustness,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
reuse_sb__agentic__notes,reuse_sb,agentic+notes,Resource stress,2,2,2,0,0,1.0,1.0,0.34238022750665303,1.0
reuse_sb__agentic__notes,reuse_sb,agentic+notes,Deserialization dispatch,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
reuse_sb__agentic__static-notes,reuse_sb,agentic+static-notes,Input policy,5,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
reuse_sb__agentic__static-notes,reuse_sb,agentic+static-notes,Retention policy,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
reuse_sb__agentic__static-notes,reuse_sb,agentic+static-notes,Parser robustness,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
reuse_sb__agentic__static-notes,reuse_sb,agentic+static-notes,Resource stress,2,2,1,1,0,0.5,0.5,0.09453120573423074,0.9054687942657693
reuse_sb__agentic__static-notes,reuse_sb,agentic+static-notes,Deserialization dispatch,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469
